IMAGE,GROUP,ITEM,PRICE_PER_LB,PRICE_PER_OZ,DATE_GATHERED,STORE
1323.jpg,chocolate_treat,CHOCOLATE ALMONDS,$6.48 ,$0.41 ,2/1/26,Winco_MoVal
1334.jpg,chocolate_treat,DARK CHOCOLATE RAISINS,$9.58 ,$0.60 ,2/1/26,Winco_MoVal
1335.jpg,chocolate_treat,DARK CHOCOLATE CRANBERRIES,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
1336.jpg,chocolate_treat,DARK CHOCOLATE STRAWBERRIES,$13.28 ,$0.83 ,2/1/26,Winco_MoVal
1343.jpg,chocolate_treat,NUTS & CHEWS MIX,$7.78 ,$0.49 ,2/1/26,Winco_MoVal
1369.jpg,chocolate_treat,CHOCOLATE CINNAMON BEAR (SWEET'S),$4.48 ,$0.28 ,2/1/26,Winco_MoVal
1428.jpg,chocolate_treat,DARK CHOCOLATE COFFEE BEANS,$12.68 ,$0.79 ,2/1/26,Winco_MoVal
1461.jpg,chocolate_treat,CHOCOLATEY PRETZELS,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
1469.jpg,chocolate_treat,NO ADDED SUGAR PRETZEL,$15.08 ,$0.94 ,2/1/26,Winco_MoVal
1498.jpg,chocolate_treat,TRI COLOR ESPRESSO BEAN,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
1499.jpg,chocolate_treat,BITE SIZE SNICKERS (MARS),$6.88 ,$0.43 ,2/1/26,Winco_MoVal
1540.jpg,chocolate_treat,NO SUGAR ADDED DARK CHOCOLATE PEANUT,$12.38 ,$0.77 ,2/1/26,Winco_MoVal
1546.jpg,chocolate_treat,NO SUGAR ADDED CHOCOLATE RAISINS,$12.48 ,$0.78 ,2/1/26,Winco_MoVal
1566.jpg,chocolate_treat,HERSHEY KISSES,$8.98 ,$0.56 ,2/1/26,Winco_MoVal
1567.jpg,chocolate_treat,HERSHEY MINIATURES,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1586.jpg,chocolate_treat,NO SUGAR ADDED DARK CHOCOLATE RAISINS,$12.78 ,$0.80 ,2/1/26,Winco_MoVal
1715.jpg,chocolate_treat,MINI REESE'S CUPS,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
1986.jpg,chocolate_treat,SUGAR FREE DARK CHOCOLATE WAFER,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
2008.jpg,chocolate_treat,CHOCOLATE RAISINS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2009.jpg,chocolate_treat,CHOCOLATE BANANA CHIPS,$6.78 ,$0.42 ,2/1/26,Winco_MoVal
2014.jpg,chocolate_treat,DARK CHOCOLATE PISTACHIOS (SETTON),$14.18 ,$0.89 ,2/1/26,Winco_MoVal
2046.jpg,chocolate_treat,CHOCOLATE GUMMY BEARS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2060.jpg,chocolate_treat,NO ADDED SUGAR PEANUT CLUSTER,$19.78 ,$1.24 ,2/1/26,Winco_MoVal
2067.jpg,chocolate_treat,HERSHEY NUGGETS,$11.28 ,$0.71 ,2/1/26,Winco_MoVal
2077.jpg,chocolate_treat,CHOCOLATE PEANUTS,$8.88 ,$0.56 ,2/1/26,Winco_MoVal
2081.jpg,chocolate_treat,ANDES MINTS (CHARMS),$6.58 ,$0.41 ,2/1/26,Winco_MoVal
2089.jpg,chocolate_treat,CHOCOLATE PEANUT CLUSTERS (SWEET'S),$6.48 ,$0.41 ,2/1/26,Winco_MoVal
2106.jpg,chocolate_treat,CHOCOLATE MALT BALLS,$6.38 ,$0.40 ,2/1/26,Winco_MoVal
2107.jpg,chocolate_treat,DARK CHOCOLATE PEANUT CLUSTER,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2114.jpg,chocolate_treat,CHOCOLATE ORANGE STICKS (SWEET'S),$5.28 ,$0.33 ,2/1/26,Winco_MoVal
2145.jpg,chocolate_treat,PEANUT BUTTER MINI CUPS (RM PALMER),$5.18 ,$0.32 ,2/1/26,Winco_MoVal
2154.jpg,chocolate_treat,DARK CHOCOLATE ALMONDS (SCONZA),$8.78 ,$0.55 ,2/1/26,Winco_MoVal
2229.jpg,chocolate_treat,REDUCED SUGAR CHOCOLATE MALTBALL,$13.88 ,$0.87 ,2/1/26,Winco_MoVal
2236.jpg,chocolate_treat,GOLD COINS CHOCOLATE (RM PALMER),$11.08 ,$0.69 ,2/1/26,Winco_MoVal
2245.jpg,chocolate_treat,MILK CHOCOLATE DUSTED ALMOND,$10.18 ,$0.64 ,2/1/26,Winco_MoVal
2251.jpg,chocolate_treat,NO ADDED SUGAR ALMOND BUTTERCRUNCH,$17.48 ,$1.09 ,2/1/26,Winco_MoVal
2253.jpg,chocolate_treat,NO ADDED SUGAR ALMOND CLUSTER,$20.58 ,$1.29 ,2/1/26,Winco_MoVal
2257.jpg,chocolate_treat,NO ADDED SUGAR PEPPERMINT PATTY,$15.08 ,$0.94 ,2/1/26,Winco_MoVal
2258.jpg,chocolate_treat,NO ADDED SUGAR CHOCOLATE VANILLA CARAMEL,$17.08 ,$1.07 ,2/1/26,Winco_MoVal
2265.jpg,chocolate_treat,NO ADDED SUGAR MINT MELTAWAY,$19.58 ,$1.22 ,2/1/26,Winco_MoVal
2267.jpg,chocolate_treat,SUGAR FREE CHOCOLATE ALMONDS,$14.18 ,$0.89 ,2/1/26,Winco_MoVal
2268.jpg,chocolate_treat,NO SUGAR ADDED DARK CHOCOLATE ALMOND,$14.48 ,$0.91 ,2/1/26,Winco_MoVal
2319.jpg,chocolate_treat,TRUFFLE DARK CHOCOLATE,$7.78 ,$0.49 ,2/1/26,Winco_MoVal
2382.jpg,chocolate_treat,CHOCOLATE MINT COOKIE BITES (SCONZA),$8.68 ,$0.54 ,2/1/26,Winco_MoVal
2387.jpg,chocolate_treat,DARK COCOLATE MINT COOKIE (GKI),$10.18 ,$0.64 ,2/1/26,Winco_MoVal
2572.jpg,chocolate_treat,SEA SALT CARAMEL SQUARES MILK CHOCOLATE (SANDERS),$10.58 ,$0.66 ,2/1/26,Winco_MoVal
2573.jpg,chocolate_treat,SEA SALT CARAMEL SQUARES DARK CHOCOLATE (SANDERS),$10.58 ,$0.66 ,2/1/26,Winco_MoVal
2583.jpg,chocolate_treat,MILK CHOCOLATE SEA SALT CARAMELS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2930.jpg,chocolate_treat,CHOCOLATE PECANS,$8.88 ,$0.56 ,2/1/26,Winco_MoVal
2932.jpg,chocolate_treat,NO ADDED SUGAR CHOCOLATE PB CUPS,$17.38 ,$1.09 ,2/1/26,Winco_MoVal
2933.jpg,chocolate_treat,NO ADDED SUGAR COCONUT CLUSTER,$17.88 ,$1.12 ,2/1/26,Winco_MoVal
2966.jpg,chocolate_treat,CHOCOLATE PECAN CARAMEL PATTY,$9.78 ,$0.61 ,2/1/26,Winco_MoVal
5583.jpg,chocolate_treat,DARK CHOCOLATE COCONUT MACAROON (SCONZA),$8.78 ,$0.55 ,2/1/26,Winco_MoVal
5595.jpg,chocolate_treat,MILK CHOCOLATE PEANUTBUTTER CARAMEL,$7.58 ,$0.47 ,2/1/26,Winco_MoVal
5627.jpg,chocolate_treat,TRUFFLES MILK CHOCOLATE,$7.48 ,$0.47 ,2/1/26,Winco_MoVal
5643.jpg,chocolate_treat,CHOCOLATEY HEART PRETZEL,$4.48 ,$0.28 ,2/1/26,Winco_MoVal
5662.jpg,chocolate_treat,CHOCOLATE ENERGY NUGGET,$6.68 ,$0.42 ,2/1/26,Winco_MoVal
5675.jpg,chocolate_treat,DARK CHOCOLATE CASHEWS,$10.98 ,$0.69 ,2/1/26,Winco_MoVal
5676.jpg,chocolate_treat,MILK CHOCOLATE CASHEWS,$8.68 ,$0.54 ,2/1/26,Winco_MoVal
5763.jpg,chocolate_treat,CHOCOLATE COVERED CHERRIES (MARICH),$11.38 ,$0.71 ,2/1/26,Winco_MoVal
5765.jpg,chocolate_treat,CHOCOLATE SEA SALT POPCORN (MARICH),$12.18 ,$0.76 ,2/1/26,Winco_MoVal
5767.jpg,chocolate_treat,CARAMEL DARK SEASALT (MARICH),$10.68 ,$0.67 ,2/1/26,Winco_MoVal
1326.jpg,dried_fruit,COCONUT STRIPS,$5.48 ,$0.34 ,2/1/26,Winco_MoVal
1327.jpg,dried_fruit,DATES CHOPPED/DICED (KARTAGO),$3.28 ,$0.21 ,2/1/26,Winco_MoVal
1452.jpg,dried_fruit,DRIED PEACHES,$6.78 ,$0.42 ,2/1/26,Winco_MoVal
1700.jpg,dried_fruit,CRYSTALIZED GINGER,$4.88 ,$0.31 ,2/1/26,Winco_MoVal
1903.jpg,dried_fruit,RAISIN MEDLEY,$2.98 ,$0.19 ,2/1/26,Winco_MoVal
1983.jpg,dried_fruit,DRIED BANANA CHIPS,$2.98 ,$0.19 ,2/1/26,Winco_MoVal
2118.jpg,dried_fruit,DRIED CRAN CHERRIES,$4.68 ,$0.29 ,2/1/26,Winco_MoVal
2146.jpg,dried_fruit,DELUXE RAISINS,$2.48 ,$0.16 ,2/1/26,Winco_MoVal
2147.jpg,dried_fruit,GOLDEN RAISINS,$2.98 ,$0.19 ,2/1/26,Winco_MoVal
2150.jpg,dried_fruit,DRIED APRICOTS,$7.28 ,$0.46 ,2/1/26,Winco_MoVal
2151.jpg,dried_fruit,DRIED CRANBERRIES,$3.58 ,$0.22 ,2/1/26,Winco_MoVal
2153.jpg,dried_fruit,DRIED APPLE RINGS,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
2155.jpg,dried_fruit,DRIED PINEAPPLE,$3.98 ,$0.25 ,2/1/26,Winco_MoVal
2158.jpg,dried_fruit,DRIED PAPAYA SPEARS,$3.58 ,$0.22 ,2/1/26,Winco_MoVal
2163.jpg,dried_fruit,DRIED CHERRIES,$11.48 ,$0.72 ,2/1/26,Winco_MoVal
2165.jpg,dried_fruit,DRIED MANGO SLICES,$3.98 ,$0.25 ,2/1/26,Winco_MoVal
2171.jpg,dried_fruit,DRIED BLUEBERRIES (MEDURI FARMS),$7.68 ,$0.48 ,2/1/26,Winco_MoVal
2259.jpg,dried_fruit,DRIED PRUNES PITTED,$4.58 ,$0.29 ,2/1/26,Winco_MoVal
2307.jpg,dried_fruit,BLACK MISSION FIGS (VALLEY FIG),$5.08 ,$0.32 ,2/1/26,Winco_MoVal
2309.jpg,dried_fruit,GOLDEN FIGS (VALLEY FIG),$5.98 ,$0.37 ,2/1/26,Winco_MoVal
2317.jpg,dried_fruit,FRUIT MIX (DURHAMS),$5.68 ,$0.36 ,2/1/26,Winco_MoVal
2468.jpg,dried_fruit,MEDJOOL DATE PITTED,$7.28 ,$0.46 ,2/1/26,Winco_MoVal
2633.jpg,dried_fruit,PREMIUM MANGO SLICES DHYD (SUNRISE),$9.18 ,$0.57 ,2/1/26,Winco_MoVal
5728.jpg,dried_fruit,GOJI BERRIES,$11.58 ,$0.72 ,2/1/26,Winco_MoVal
1283.jpg,grains_pasta,QUINOA GRAIN,$2.88 ,$0.18 ,2/1/26,Winco_MoVal
1284.jpg,grains_pasta,QUINOA WHITE ORGANIC,$3.38 ,$0.21 ,2/1/26,Winco_MoVal
1285.jpg,grains_pasta,SONA MASOORI RICE (ROYAL),$1.98 ,$0.12 ,2/1/26,Winco_MoVal
1332.jpg,grains_pasta,CHEESE TORTELLINI (NAPOLEON),$4.18 ,$0.26 ,2/1/26,Winco_MoVal
1391.jpg,grains_pasta,BROWN RICE MACARONI,$4.28 ,$0.27 ,2/1/26,Winco_MoVal
1434.jpg,grains_pasta,ORZO PASTA,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1482.jpg,grains_pasta,RED QUINOA (ORGANIC),$3.08 ,$0.19 ,2/1/26,Winco_MoVal
1564.jpg,grains_pasta,WHITE RICE ELBOW MACARONI,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
1601.jpg,grains_pasta,GREEN LENTIL PENNE PASTA,$5.58 ,$0.35 ,2/1/26,Winco_MoVal
1602.jpg,grains_pasta,CHICKPEA ELBOW PASTA,$5.78 ,$0.36 ,2/1/26,Winco_MoVal
1603.jpg,grains_pasta,SHREDDED POTATOES,$3.28 ,$0.21 ,2/1/26,Winco_MoVal
1604.jpg,grains_pasta,RAINBOW PASTA,$1.51 ,$0.09 ,2/1/26,Winco_MoVal
1610.jpg,grains_pasta,FETTUCINI PASTA,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1612.jpg,grains_pasta,LINGUINE PASTA,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1613.jpg,grains_pasta,WHOLE WHEAT SPAGHETTI,$1.34 ,$0.08 ,2/1/26,Winco_MoVal
1615.jpg,grains_pasta,SPAGHETTI,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1617.jpg,grains_pasta,ELBOW MACARONI,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1618.jpg,grains_pasta,EXTRA WIDE EGG NOODLES,$2.21 ,$0.14 ,2/1/26,Winco_MoVal
1620.jpg,grains_pasta,ANGELHAIR PASTA,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1621.jpg,grains_pasta,WHOLE WHEAT MACARONI,$1.28 ,$0.08 ,2/1/26,Winco_MoVal
1623.jpg,grains_pasta,ROTINI PASTA,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1627.jpg,grains_pasta,PENNE RIGATE PASTA,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1628.jpg,grains_pasta,SALAD MACARONI,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1629.jpg,grains_pasta,LARGE SHELL PASTA,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1630.jpg,grains_pasta,SMALL SHELL PASTA,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
1631.jpg,grains_pasta,JASMINE RICE (GOLDEN STAR),$1.11 ,$0.07 ,2/1/26,Winco_MoVal
1642.jpg,grains_pasta,PEARL BARLEY,$0.98 ,$0.06 ,2/1/26,Winco_MoVal
1648.jpg,grains_pasta,ARBORIO RICE,$2.58 ,$0.16 ,2/1/26,Winco_MoVal
1650.jpg,grains_pasta,ZITI RIGATE PASTA,$1.48 ,$0.09 ,2/1/26,Winco_MoVal
1651.jpg,grains_pasta,LONG GRAIN WHITE RICE,$0.88 ,$0.06 ,2/1/26,Winco_MoVal
1652.jpg,grains_pasta,RED AND WILD RICE,$2.98 ,$0.19 ,2/1/26,Winco_MoVal
1653.jpg,grains_pasta,WILD RICE,$7.18 ,$0.45 ,2/1/26,Winco_MoVal
1654.jpg,grains_pasta,SHORT GRAIN BROWN RICE,$1.18 ,$0.07 ,2/1/26,Winco_MoVal
1655.jpg,grains_pasta,LONG GRAIN BROWN RICE,$0.88 ,$0.06 ,2/1/26,Winco_MoVal
1656.jpg,grains_pasta,CONVERTED RICE,$0.98 ,$0.06 ,2/1/26,Winco_MoVal
1657.jpg,grains_pasta,PEARLED RICE,$1.88 ,$0.12 ,2/1/26,Winco_MoVal
1658.jpg,grains_pasta,BOWTIE PASTA,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1683.jpg,grains_pasta,WHOLE WHEAT PENNE RIGATE,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1718.jpg,grains_pasta,BROWN RICE JASMINE (GOLDEN STAR),$1.31 ,$0.08 ,2/1/26,Winco_MoVal
1758.jpg,grains_pasta,JAPONICA BLACK RICE,$2.98 ,$0.19 ,2/1/26,Winco_MoVal
1777.jpg,grains_pasta,INSTANT JASMINE RICE,$2.88 ,$0.18 ,2/1/26,Winco_MoVal
1810.jpg,grains_pasta,INSTANT LONG GRAIN RICE,$1.88 ,$0.12 ,2/1/26,Winco_MoVal
1850.jpg,grains_pasta,CALROSE RICE (SUSHI RICE),$0.72 ,$0.05 ,2/1/26,Winco_MoVal
1860.jpg,grains_pasta,SEASONED CROUTONS (FRESH GOURMET),$3.58 ,$0.22 ,2/1/26,Winco_MoVal
1861.jpg,grains_pasta,CHEESE GARLIC CROUTONS (FRESH GOURMET),$3.58 ,$0.22 ,2/1/26,Winco_MoVal
1865.jpg,grains_pasta,WONTON STRIPS,$5.98 ,$0.37 ,2/1/26,Winco_MoVal
1868.jpg,grains_pasta,TRI COLOR TORTILLA,$5.08 ,$0.32 ,2/1/26,Winco_MoVal
1875.jpg,grains_pasta,ORZO PASTA TRI COLOR,$3.18 ,$0.20 ,2/1/26,Winco_MoVal
1883.jpg,grains_pasta,ITALIAN FARRO PEARLED,$3.78 ,$0.24 ,2/1/26,Winco_MoVal
1942.jpg,grains_pasta,JUMBO ELBOW PASTA,$1.38 ,$0.09 ,2/1/26,Winco_MoVal
1944.jpg,grains_pasta,COUS-COUS,$2.18 ,$0.14 ,2/1/26,Winco_MoVal
1947.jpg,grains_pasta,TRICOLOR COUS-COUS,$2.68 ,$0.17 ,2/1/26,Winco_MoVal
1963.jpg,grains_pasta,ISRAELI STYLE COUS-COUS (INHARVEST),$1.98 ,$0.12 ,2/1/26,Winco_MoVal
2204.jpg,grains_pasta,BASMATI RICE (ROYAL),$1.98 ,$0.12 ,2/1/26,Winco_MoVal
2239.jpg,grains_pasta,BROWN BASMATI RICE (ROYAL),$1.98 ,$0.12 ,2/1/26,Winco_MoVal
2313.jpg,grains_pasta,MACARONI CAVATAPPI,$0.93 ,$0.06 ,2/1/26,Winco_MoVal
2316.jpg,grains_pasta,TRI COLOR QUINOA (ORGANIC),$2.98 ,$0.19 ,2/1/26,Winco_MoVal
2336.jpg,grains_pasta,TRI-COLOR TORTELLINI,$4.18 ,$0.26 ,2/1/26,Winco_MoVal
2568.jpg,grains_pasta,BROWN RICE PENNE,$4.28 ,$0.27 ,2/1/26,Winco_MoVal
2614.jpg,grains_pasta,BROWN RICE ROTINI,$4.28 ,$0.27 ,2/1/26,Winco_MoVal
1350.jpg,granola_cereal,DARK CHOC RED BERRY ORGANIC,$6.48 ,$0.41 ,1/30/26,Winco_MoVal
1402.jpg,granola_cereal,SCOTTISH OATMEAL,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1408.jpg,granola_cereal,5 GRAIN CEREAL,$1.18 ,$0.07 ,1/30/26,Winco_MoVal
1415.jpg,granola_cereal,STEEL CUT OATS,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1458.jpg,granola_cereal,SUGAR FROSTED FLAKES,$2.78 ,$0.17 ,1/30/26,Winco_MoVal
1472.jpg,granola_cereal,FRUIT WHIRLS CEREAL,$2.98 ,$0.19 ,1/30/26,Winco_MoVal
1738.jpg,granola_cereal,ORGANIC REG OATS,$1.48 ,$0.09 ,1/30/26,Winco_MoVal
1806.jpg,granola_cereal,ORGANIC PB PANDA PUFFS,$5.78 ,$0.36 ,1/30/26,Winco_MoVal
1834.jpg,granola_cereal,ORGANIC HERITAGE FLKS,$4.98 ,$0.31 ,1/30/26,Winco_MoVal
1836.jpg,granola_cereal,ORGANIC HONEY CORN FLAKES,$4.58 ,$0.29 ,1/30/26,Winco_MoVal
1837.jpg,granola_cereal,PUMPKIN FLAX GRANOLA,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1853.jpg,granola_cereal,BLU/RSPBERRY GRANOLA,$4.58 ,$0.29 ,1/30/26,Winco_MoVal
1905.jpg,granola_cereal,OAT BRAN,$1.68 ,$0.11 ,1/30/26,Winco_MoVal
1907.jpg,granola_cereal,ALMOND/RAISIN GRANOLA,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1910.jpg,granola_cereal,FRNCH VANILLA ALMOND GRANOLA,$2.68 ,$0.17 ,1/30/26,Winco_MoVal
1911.jpg,granola_cereal,MAPLE NUT GRANOLA,$1.98 ,$0.12 ,1/30/26,Winco_MoVal
1912.jpg,granola_cereal,CRANBERRY ALMOND GRANOLA,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1913.jpg,granola_cereal,CINNAMON RAISIN GRANOLA,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1918.jpg,granola_cereal,PEANUT BUTTER GRANOLA,$4.68 ,$0.29 ,1/30/26,Winco_MoVal
1922.jpg,granola_cereal,DBL CHOCOLATE GRANOLA,$4.58 ,$0.29 ,1/30/26,Winco_MoVal
1924.jpg,granola_cereal,CRISP RICE CEREAL,$2.50 ,$0.16 ,1/30/26,Winco_MoVal
1926.jpg,granola_cereal,TOASTED OATS CEREAL,$2.98 ,$0.19 ,1/30/26,Winco_MoVal
1930.jpg,granola_cereal,BOBS RED MILL FARINA CEREAL,$2.28 ,$0.14 ,1/30/26,Winco_MoVal
1933.jpg,granola_cereal,OLD FASHIONED OATS,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1934.jpg,granola_cereal,QUICK OATS,$0.88 ,$0.06 ,1/30/26,Winco_MoVal
1935.jpg,granola_cereal,HONEY/ALMOND GRANOLA,$1.98 ,$0.12 ,1/30/26,Winco_MoVal
1943.jpg,granola_cereal,10-GRAIN CEREAL,$2.18 ,$0.14 ,1/30/26,Winco_MoVal
1945.jpg,granola_cereal,RAISIN BRAN,$2.88 ,$0.18 ,1/30/26,Winco_MoVal
1946.jpg,granola_cereal,MUESLI CEREAL,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1960.jpg,granola_cereal,SHREDDED FROSTED WHEAT,$2.48 ,$0.16 ,1/30/26,Winco_MoVal
1970.jpg,granola_cereal,GRANOLA FRUIT AND NUT,$4.68 ,$0.29 ,1/30/26,Winco_MoVal
1977.jpg,granola_cereal,GRANOLA COCONUT CHIA,$4.68 ,$0.29 ,1/30/26,Winco_MoVal
2289.jpg,granola_cereal,CINN SQUARE CEREAL,$3.08 ,$0.19 ,1/30/26,Winco_MoVal
2503.jpg,granola_cereal,OATS REGULAR GLUTEN FREE,$1.68 ,$0.11 ,1/30/26,Winco_MoVal
2504.jpg,granola_cereal,OATS QUICK GLUTEN FREE,$1.68 ,$0.11 ,1/30/26,Winco_MoVal
2724.jpg,granola_cereal,FRENCH VANILLA GRANOLA,$3.78 ,$0.24 ,1/30/26,Winco_MoVal
2725.jpg,granola_cereal,BLUEBERRY FLAX GRANOLA,$3.78 ,$0.24 ,1/30/26,Winco_MoVal
2726.jpg,granola_cereal,CHERRY VANILLA GRANOLA,$3.28 ,$0.21 ,1/30/26,Winco_MoVal
2967.jpg,granola_cereal,HONEY NUT TOASTED OATS,$2.98 ,$0.19 ,1/30/26,Winco_MoVal
5538.jpg,granola_cereal,GRANOLA CRANBERRY GF,$5.08 ,$0.32 ,1/30/26,Winco_MoVal
